Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
70,2,Sep 4 2021,10:30 PM,Sat,San Diego State,28,,New Mexico State,10,
71,2,Sep 4 2021,8:00 PM,Sat,South Alabama,31,,Southern Mississippi,7,
72,2,Sep 4 2021,7:00 PM,Sat,South Carolina,46,,Eastern Illinois,0,
73,2,Sep 4 2021,5:00 PM,Sat,(15) Southern California,30,,San Jose State,7,
74,2,Sep 4 2021,7:00 PM,Sat,Southern Methodist,56,,Abilene Christian,9,
75,2,Sep 4 2021,7:00 PM,Sat,Syracuse,29,@,Ohio,9,
76,2,Sep 4 2021,4:30 PM,Sat,(21) Texas,38,,(23) Louisiana,18,
77,2,Sep 4 2021,8:00 PM,Sat,(6) Texas A&M,41,,Kent State,10,
78,2,Sep 4 2021,8:00 PM,Sat,Texas Christian,45,,Duquesne,3,
79,2,Sep 4 2021,7:00 PM,Sat,Texas Tech,38,N,Houston,21,NRG Stadium - Houston Texas
80,2,Sep 4 2021,9:00 PM,Sat,Texas-El Paso,38,,Bethune-Cookman,28,
81,2,Sep 4 2021,7:30 PM,Sat,Texas-San Antonio,37,@,Illinois,30,
82,2,Sep 4 2021,7:00 PM,Sat,Toledo,49,,Norfolk State,10,
83,2,Sep 4 2021,7:00 PM,Sat,Troy,55,,Southern,3,
84,2,Sep 4 2021,8:30 PM,Sat,UCLA,38,,(16) Louisiana State,27,
85,2,Sep 4 2021,11:00 PM,Sat,Utah State,26,@,Washington State,23,
86,2,Sep 4 2021,7:30 PM,Sat,Virginia,43,,William & Mary,0,
87,2,Sep 4 2021,4:00 PM,Sat,Wyoming,19,,Montana State,16,
88,2,Sep 5 2021,7:44 PM,Sun,(9) Notre Dame,41,@,Florida State,38,
89,2,Sep 6 2021,8:00 PM,Mon,Mississippi,43,N,Louisville,24,Mercedes-Benz Stadium - Atlanta Georgia
90,3,Sep 10 2021,9:30 PM,Fri,Boise State,54,,Texas-El Paso,13,
91,3,Sep 10 2021,7:30 PM,Fri,(17) Coastal Carolina,49,,Kansas,22,
92,3,Sep 10 2021,8:00 PM,Fri,Duke,45,,North Carolina A&T,17,
93,3,Sep 10 2021,9:00 PM,Fri,Utah State,48,,North Dakota,24,
94,3,Sep 11 2021,3:30 PM,Sat,Air Force,23,@,Navy,3,
95,3,Sep 11 2021,4:00 PM,Sat,(1) Alabama,48,,Mercer,14,
96,3,Sep 11 2021,10:30 PM,Sat,(23) Arizona State,37,,Nevada-Las Vegas,10,
97,3,Sep 11 2021,7:00 PM,Sat,Arkansas,40,,(15) Texas,21,
98,3,Sep 11 2021,11:30 AM,Sat,Army,38,,Western Kentucky,35,
99,3,Sep 11 2021,12:00 PM,Sat,(25) Auburn,62,,Alabama State,0,
100,3,Sep 11 2021,7:00 PM,Sat,Baylor,66,,Texas Southern,7,
101,3,Sep 11 2021,3:30 PM,Sat,Boston College,45,@,Massachusetts,28,
102,3,Sep 11 2021,10:15 PM,Sat,Brigham Young,26,,(21) Utah,17,
103,3,Sep 11 2021,6:30 PM,Sat,Central Florida,63,,Bethune-Cookman,14,
104,3,Sep 11 2021,3:00 PM,Sat,Central Michigan,45,,Robert Morris,0,
105,3,Sep 11 2021,6:00 PM,Sat,Charlotte,38,,Gardner-Webb,10,
106,3,Sep 11 2021,3:30 PM,Sat,(7) Cincinnati,42,,Murray State,7,
107,3,Sep 11 2021,5:00 PM,Sat,(6) Clemson,49,,South Carolina State,3,
108,3,Sep 11 2021,2:00 PM,Sat,Duquesne,28,@,Ohio,26,
109,3,Sep 11 2021,1:00 PM,Sat,(13) Florida,42,@,South Florida,20,
110,3,Sep 11 2021,3:30 PM,Sat,Florida Atlantic,38,,Georgia Southern,6,
111,3,Sep 11 2021,10:00 PM,Sat,Fresno State,63,,Cal Poly,10,
112,3,Sep 11 2021,3:30 PM,Sat,(2) Georgia,56,,Alabama-Birmingham,7,
113,3,Sep 11 2021,12:00 PM,Sat,Georgia Tech,45,,Kennesaw State,17,
114,3,Sep 11 2021,6:30 PM,Sat,Houston,44,@,Rice,7,
115,3,Sep 11 2021,7:30 PM,Sat,Indiana,56,,Idaho,14,
116,3,Sep 11 2021,4:30 PM,Sat,(10) Iowa,27,@,(9) Iowa State,17,
117,3,Sep 11 2021,8:00 PM,Sat,Jacksonville State,20,@,Florida State,17,
118,3,Sep 11 2021,7:00 PM,Sat,Kansas State,31,,Southern Illinois,23,
119,3,Sep 11 2021,11:30 AM,Sat,Kent State,60,,Virginia Military Institute,10,
120,3,Sep 11 2021,7:30 PM,Sat,Kentucky,35,,Missouri,28,
121,3,Sep 11 2021,7:00 PM,Sat,Liberty,21,@,Troy,13,
122,3,Sep 11 2021,7:00 PM,Sat,Louisiana,27,,Nicholls State,24,
123,3,Sep 11 2021,8:00 PM,Sat,Louisiana State,34,,McNeese State,7,
124,3,Sep 11 2021,7:00 PM,Sat,Louisiana Tech,45,,Southeastern Louisiana,42,
