Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
38,2,Aug 31 2019,,Sat,Georgia State,38,@,Tennessee,30,Neyland Stadium - Knoxville Tennessee
39,2,Aug 31 2019,,Sat,Illinois,42,,Akron,3,Memorial Stadium - Champaign Illinois
40,2,Aug 31 2019,,Sat,Indiana,34,N,Ball State,24,Lucas Oil Stadium - Indianapolis Indiana
41,2,Aug 31 2019,,Sat,(20) Iowa,38,,Miami (OH),14,Kinnick Stadium - Iowa City Iowa
42,2,Aug 31 2019,,Sat,(21) Iowa State,29,,Northern Iowa,26,Jack Trice Stadium - Ames Iowa
43,2,Aug 31 2019,,Sat,Kansas,24,,Indiana State,17,David Booth Kansas Memorial Stadium - Lawrence Kansas
44,2,Aug 31 2019,,Sat,Kansas State,49,,Nicholls State,14,Bill Snyder Family Stadium - Manhattan Kansas
45,2,Aug 31 2019,,Sat,Kentucky,38,,Toledo,24,Kroger Field - Lexington Kentucky
46,2,Aug 31 2019,,Sat,(6) Louisiana State,55,,Georgia Southern,3,Tiger Stadium - Baton Rouge Louisiana
47,2,Aug 31 2019,,Sat,Louisiana-Monroe,31,,Grambling State,9,Malone Stadium - Monroe Louisiana
48,2,Aug 31 2019,,Sat,Marshall,56,,Virginia Military Institute,17,Joan C. Edwards Stadium - Huntington West Virginia
49,2,Aug 31 2019,,Sat,Maryland,79,,Howard,0,Capital One Field at Maryland Stadium - College Park Maryland
50,2,Aug 31 2019,,Sat,Memphis,15,,Mississippi,10,Liberty Bowl Memorial Stadium - Memphis Tennessee
51,2,Aug 31 2019,,Sat,(7) Michigan,40,,Middle Tennessee State,21,Michigan Stadium - Ann Arbor Michigan
52,2,Aug 31 2019,,Sat,Mississippi State,38,N,Louisiana,28,Mercedes-Benz Superdome - New Orleans Louisiana
53,2,Aug 31 2019,,Sat,Navy,45,,Holy Cross,7,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
54,2,Aug 31 2019,,Sat,(24) Nebraska,35,,South Alabama,21,Memorial Stadium - Lincoln Nebraska
55,2,Aug 31 2019,,Sat,Nevada-Las Vegas,56,,Southern Utah,23,Sam Boyd Stadium - Las Vegas Nevada
56,2,Aug 31 2019,,Sat,New Mexico,39,,Sam Houston State,31,Dreamstyle Stadium - Albuquerque New Mexico
57,2,Aug 31 2019,,Sat,North Carolina,24,N,South Carolina,20,Bank of America Stadium - Charlotte North Carolina
58,2,Aug 31 2019,,Sat,North Carolina State,34,,East Carolina,6,Carter-Finley Stadium - Raleigh North Carolina
59,2,Aug 31 2019,,Sat,North Texas,51,,Abilene Christian,31,Apogee Stadium - Denton Texas
60,2,Aug 31 2019,,Sat,Northern Illinois,24,,Illinois State,10,Huskie Stadium - DeKalb Illinois
