,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
65,Wisconsin,Big Ten,2,3,.400,0,2,.000,18.6,19.8,0.89,3.69,,,,
66,Western Kentucky,CUSA,5,1,.833,3,0,1.000,33.7,22.8,-1.17,-8.84,,,,
67,Louisiana Tech,CUSA,4,1,.800,2,0,1.000,28.0,13.6,10.09,-2.11,,,,
68,Kennesaw State,CUSA,3,2,.600,1,0,1.000,19.4,23.2,-3.73,-3.33,,,,
69,Jacksonville State,CUSA,2,3,.400,1,0,1.000,29.6,26.8,-4.97,-5.57,,,,
70,Delaware,CUSA,3,2,.600,1,1,.500,29.6,26.4,-1.41,-4.61,,,,
71,New Mexico State,CUSA,3,2,.600,1,1,.500,22.2,22.8,-5.76,-6.76,,,,
72,Florida International,CUSA,2,3,.400,0,1,.000,21.2,32.0,-11.62,-4.42,,,,
73,Missouri State,CUSA,2,3,.400,0,1,.000,21.6,31.6,-3.87,-0.27,,,,
74,Liberty,CUSA,1,4,.200,0,1,.000,17.0,23.2,-7.92,-1.72,,,,
75,Middle Tennessee State,CUSA,1,4,.200,0,1,.000,16.4,31.0,-20.52,-8.72,,,,
76,UTEP,CUSA,1,4,.200,0,1,.000,20.8,26.6,-5.15,1.05,,,,
77,Sam Houston,CUSA,0,5,.000,0,2,.000,15.0,41.6,-20.43,-0.63,,,,
78,Connecticut,Ind,4,2,.667,,,,37.0,22.7,1.01,-6.99,,,,
79,Notre Dame,Ind,3,2,.600,,,,40.8,23.6,24.72,13.72,16,6,6,
80,Washington State,Ind,3,2,.600,,,,20.6,28.8,-1.99,-1.79,,,,
81,Oregon State,Ind,0,6,.000,,,,18.3,35.0,-9.26,5.74,,,,
82,Buffalo,MAC,3,3,.500,2,0,1.000,25.2,21.3,-4.97,-6.80,,,,
83,Western Michigan,MAC,3,3,.500,2,0,1.000,19.7,20.7,0.62,0.45,,,,
84,Ball State,MAC,2,3,.400,1,0,1.000,16.4,29.4,-7.81,0.39,,,,
85,Miami (OH),MAC,2,3,.400,1,0,1.000,23.6,23.4,-7.28,-4.68,,,,
86,Toledo,MAC,3,2,.600,1,1,.500,35.8,12.4,6.60,-4.80,,,,
87,Central Michigan,MAC,3,3,.500,1,1,.500,21.8,28.8,-7.11,-4.94,,,,
88,Ohio,MAC,3,3,.500,1,1,.500,26.3,26.0,-1.14,-1.31,,,,
89,Akron,MAC,2,4,.333,1,1,.500,18.3,30.5,-9.36,-3.69,,,,
90,Bowling Green,MAC,2,3,.400,0,1,.000,21.2,25.8,-4.87,-0.27,,,,
91,Kent State,MAC,1,4,.200,0,1,.000,14.6,44.0,-7.50,6.90,,,,
92,Northern Illinois,MAC,1,4,.200,0,1,.000,11.0,21.2,-9.64,-0.44,,,,
