Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 27 2022,7:00 PM,Sat,Florida Atlantic,43,,Charlotte,13,
2,1,Aug 27 2022,5:00 PM,Sat,Florida State,47,,Duquesne,7,
3,1,Aug 27 2022,4:00 PM,Sat,Illinois,38,,Wyoming,6,
4,1,Aug 27 2022,10:00 PM,Sat,Nevada,23,@,New Mexico State,12,
5,1,Aug 27 2022,3:30 PM,Sat,Nevada-Las Vegas,52,,Idaho State,21,
6,1,Aug 27 2022,8:00 PM,Sat,North Carolina,56,,Florida A&M,24,
7,1,Aug 27 2022,9:00 PM,Sat,North Texas,31,@,Texas-El Paso,13,
8,1,Aug 27 2022,12:30 PM,Sat,Northwestern,31,N,Nebraska,28,
9,1,Aug 27 2022,4:00 PM,Sat,Utah State,31,,Connecticut,20,
10,1,Aug 27 2022,10:30 PM,Sat,Vanderbilt,63,@,Hawaii,10,
11,1,Aug 27 2022,12:00 PM,Sat,Western Kentucky,38,,Austin Peay,27,
12,2,Sep 1 2022,6:00 PM,Thu,Akron,30,,St. Francis (PA),23,
13,2,Sep 1 2022,8:00 PM,Thu,Alabama-Birmingham,59,,Alabama A&M,0,
14,2,Sep 1 2022,10:00 PM,Thu,Arizona State,40,,Northern Arizona,3,
15,2,Sep 1 2022,7:00 PM,Thu,Central Florida,56,,South Carolina State,10,
16,2,Sep 1 2022,7:00 PM,Thu,Florida International,38,,Bryant,37,
17,2,Sep 1 2022,10:30 PM,Thu,Fresno State,35,,Cal Poly,7,
18,2,Sep 1 2022,9:00 PM,Thu,Minnesota,38,,New Mexico State,0,
19,2,Sep 1 2022,8:00 PM,Thu,Missouri,52,,Louisiana Tech,24,
20,2,Sep 1 2022,8:00 PM,Thu,Northern Illinois,34,,Eastern Illinois,27,
21,2,Sep 1 2022,7:00 PM,Thu,(12) Oklahoma State,58,,Central Michigan,44,
22,2,Sep 1 2022,8:00 PM,Thu,Penn State,35,@,Purdue,31,
23,2,Sep 1 2022,7:00 PM,Thu,(17) Pittsburgh,38,,West Virginia,31,
24,2,Sep 1 2022,10:30 PM,Thu,San Jose State,21,,Portland State,17,
25,2,Sep 1 2022,7:00 PM,Thu,Tennessee,59,,Ball State,10,
26,2,Sep 1 2022,7:00 PM,Thu,Toledo,37,,Long Island,0,
27,2,Sep 1 2022,7:30 PM,Thu,(22) Wake Forest,44,,Virginia Military Institute,10,
28,2,Sep 2 2022,7:30 PM,Fri,Duke,30,,Temple,0,
29,2,Sep 2 2022,7:00 PM,Fri,Eastern Michigan,42,,Eastern Kentucky,34,
30,2,Sep 2 2022,8:00 PM,Fri,Indiana,23,,Illinois,20,
31,2,Sep 2 2022,8:00 PM,Fri,Kansas,56,,Tennessee Tech,10,
32,2,Sep 2 2022,7:00 PM,Fri,(15) Michigan State,35,,Western Michigan,13,
33,2,Sep 2 2022,7:00 PM,Fri,Old Dominion,20,,Virginia Tech,17,
34,2,Sep 2 2022,10:00 PM,Fri,Texas Christian,38,@,Colorado,13,
35,2,Sep 2 2022,7:00 PM,Fri,William & Mary,41,@,Charlotte,24,
36,2,Sep 3 2022,1:00 PM,Sat,Air Force,48,,Northern Iowa,17,
37,2,Sep 3 2022,7:30 PM,Sat,(1) Alabama,55,,Utah State,0,
38,2,Sep 3 2022,3:30 PM,Sat,Arizona,38,@,San Diego State,20,
39,2,Sep 3 2022,3:30 PM,Sat,(19) Arkansas,31,,(23) Cincinnati,24,
40,2,Sep 3 2022,7:00 PM,Sat,Arkansas State,58,,Grambling State,3,
41,2,Sep 3 2022,7:00 PM,Sat,Auburn,42,,Mercer,16,
42,2,Sep 3 2022,7:00 PM,Sat,(10) Baylor,69,,Albany,10,
43,2,Sep 3 2022,4:00 PM,Sat,(25) Brigham Young,50,@,South Florida,21,
44,2,Sep 3 2022,4:00 PM,Sat,California,34,,California-Davis,13,
45,2,Sep 3 2022,7:00 PM,Sat,Coastal Carolina,38,,Army,28,
46,2,Sep 3 2022,12:00 PM,Sat,Connecticut,28,,Central Connecticut State,3,
47,2,Sep 3 2022,12:00 PM,Sat,Delaware,14,@,Navy,7,
48,2,Sep 3 2022,7:00 PM,Sat,Florida,29,,(7) Utah,26,
49,2,Sep 3 2022,3:30 PM,Sat,(3) Georgia,49,N,(11) Oregon,3,
50,2,Sep 3 2022,6:00 PM,Sat,Georgia Southern,59,,Morgan State,7,
51,2,Sep 3 2022,3:30 PM,Sat,(24) Houston,37,@,Texas-San Antonio,35,
52,2,Sep 3 2022,12:00 PM,Sat,Iowa,7,,South Dakota State,3,
53,2,Sep 3 2022,2:00 PM,Sat,Iowa State,42,,Southeast Missouri State,10,
54,2,Sep 3 2022,6:00 PM,Sat,James Madison,44,,Middle Tennessee State,7,
55,2,Sep 3 2022,7:00 PM,Sat,Kansas State,34,,South Dakota,0,
56,2,Sep 3 2022,7:00 PM,Sat,(20) Kentucky,37,,Miami (OH),13,
57,2,Sep 3 2022,7:00 PM,Sat,Liberty,29,@,Southern Mississippi,27,
58,2,Sep 3 2022,7:00 PM,Sat,Louisiana,24,,Southeastern Louisiana,7,
59,2,Sep 3 2022,3:30 PM,Sat,Marshall,55,,Norfolk State,3,
60,2,Sep 3 2022,12:00 PM,Sat,Maryland,31,,Buffalo,10,
61,2,Sep 3 2022,3:30 PM,Sat,(16) Miami (FL),70,,Bethune-Cookman,13,
62,2,Sep 3 2022,12:00 PM,Sat,(8) Michigan,51,,Colorado State,7,
63,2,Sep 3 2022,4:00 PM,Sat,(21) Mississippi,28,,Troy,10,
64,2,Sep 3 2022,7:30 PM,Sat,Mississippi State,49,,Memphis,23,
65,2,Sep 3 2022,3:30 PM,Sat,Nebraska,38,,North Dakota,17,
66,2,Sep 3 2022,5:30 PM,Sat,Nevada,38,,Texas State,14,
67,2,Sep 3 2022,8:00 PM,Sat,New Mexico,41,,Maine,0,
68,2,Sep 3 2022,12:00 PM,Sat,North Carolina,63,@,Appalachian State,61,
69,2,Sep 3 2022,12:00 PM,Sat,(13) North Carolina State,21,@,East Carolina,20,
70,2,Sep 3 2022,6:00 PM,Sat,Ohio,41,,Florida Atlantic,38,
