,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
49,Appalachian State,Sun Belt (East),,3,2,15.16,-9.64,5.52,52.64,20.19,9.20,5.45,5.91,4.25,7.23,4.89
50,Fresno State,MWC,24,5,0,5.40,-0.01,5.39,46.54,12.58,8.38,4.95,4.37,2.65,6.55,3.95
51,James Madison,Sun Belt (East),,5,0,3.31,2.07,5.38,42.16,10.06,10.33,6.76,5.47,0.00,6.98,4.07
52,Troy,Sun Belt (West),,3,2,1.60,3.77,5.37,38.30,7.69,8.79,4.85,6.25,1.72,7.11,3.58
53,Florida,SEC (East),,3,2,-1.81,7.03,5.21,41.88,4.69,10.53,5.37,5.55,2.56,7.59,4.02
54,BYU,Big 12,,4,1,4.89,0.31,5.20,45.57,9.43,10.12,5.02,3.09,3.69,6.26,4.57
55,UCF,Big 12,,3,2,6.74,-1.89,4.85,50.21,12.52,10.94,4.99,7.50,3.07,8.75,4.26
56,South Florida,American,,3,2,7.21,-2.56,4.65,44.93,13.19,9.56,5.69,5.01,2.86,6.75,4.68
57,Purdue,Big Ten (West),,2,3,8.89,-4.31,4.58,50.86,12.16,10.28,5.55,5.65,2.99,7.60,4.28
58,Arkansas,SEC (West),,2,3,4.63,-0.47,4.16,47.63,8.26,9.90,6.14,4.29,2.50,6.49,4.32
59,Ohio,MAC (East),,4,1,-8.60,12.70,4.10,31.10,-0.14,8.40,4.39,4.50,1.93,5.67,3.43
60,Miami (OH),MAC (East),,4,1,2.06,1.97,4.03,43.71,9.74,10.51,5.58,6.62,2.37,8.01,4.01
61,Arizona,Pac-12,,3,2,0.13,3.76,3.89,40.00,6.41,9.18,6.47,5.96,1.67,7.53,3.87
62,Marshall,Sun Belt (East),,4,0,4.09,-0.39,3.70,41.30,12.13,9.33,3.55,5.42,5.41,7.17,4.59
63,Tulsa,American,,3,2,2.05,1.32,3.38,43.85,13.83,10.24,6.26,5.18,2.31,6.78,4.32
64,Baylor,Big 12,,2,3,1.33,2.04,3.37,39.47,10.29,9.33,6.35,5.50,3.26,7.10,4.69
65,Virginia Tech,ACC,,2,3,-0.23,3.43,3.20,41.92,7.21,9.36,4.43,4.55,3.49,6.80,3.99
66,Minnesota,Big Ten (West),,3,2,1.34,1.82,3.16,40.53,8.41,7.90,6.93,6.19,2.60,6.78,4.82
67,Cincinnati,Big 12,,2,3,1.32,1.49,2.81,46.98,6.52,9.79,5.76,6.25,2.67,7.73,4.36
68,Michigan State,Big Ten (East),,2,3,-2.76,5.48,2.72,37.25,7.11,8.80,5.50,4.83,2.25,6.63,3.84
69,Texas State,Sun Belt (West),,4,1,12.86,-10.58,2.29,54.21,23.52,10.83,6.64,6.30,3.11,8.24,4.89
70,Rice,American,,3,2,4.40,-2.53,1.87,48.81,13.65,10.88,6.06,3.60,3.02,7.26,4.73
71,Colorado State,MWC,,2,2,5.75,-3.93,1.82,44.25,16.56,11.19,5.28,3.27,2.74,7.80,4.08
72,Northwestern,Big Ten (West),,2,3,3.54,-1.86,1.68,46.17,10.61,8.32,6.29,4.39,2.46,6.32,4.24
73,Boise State,MWC,,2,3,3.70,-2.07,1.63,41.15,12.87,10.29,7.61,5.58,2.31,7.22,4.75
74,Nebraska,Big Ten (West),,2,3,-4.65,5.93,1.28,38.38,8.20,8.57,4.49,6.72,1.59,7.34,3.32
75,Georgia Tech,ACC,,2,3,5.80,-4.91,0.89,46.93,14.32,10.04,5.22,6.36,4.29,8.09,4.64
76,Georgia State,Sun Belt (East),,4,1,4.30,-3.43,0.87,43.86,14.83,9.93,7.07,5.78,2.16,7.34,5.09
77,Arkansas State,Sun Belt (West),,3,2,-1.21,2.01,0.79,35.98,19.55,8.73,6.45,5.30,3.41,6.70,4.98
78,South Carolina,SEC (East),,2,3,3.62,-2.85,0.77,43.37,11.77,11.21,6.66,3.77,2.42,7.53,4.60
79,Bowling Green,MAC (East),,2,3,2.79,-2.20,0.59,41.49,14.59,8.93,6.64,5.21,2.66,6.81,4.68
80,California,Pac-12,,3,2,1.57,-1.03,0.54,41.98,11.83,7.87,6.27,5.45,2.16,6.43,4.18
81,Wake Forest,ACC,,3,1,-1.19,1.73,0.53,36.20,10.90,9.02,5.40,4.73,2.69,6.55,4.11
82,Toledo,MAC (West),,4,1,3.29,-2.77,0.52,51.73,13.61,11.46,6.00,6.11,2.81,7.83,4.29
83,North Carolina State,ACC,,3,2,-1.27,1.27,-0.01,39.41,6.64,7.36,5.67,5.56,2.07,6.32,4.07
84,Coastal Carolina,Sun Belt (East),,2,3,-0.85,0.64,-0.21,45.78,9.08,9.10,5.19,5.88,3.18,7.45,4.50
85,Iowa State,Big 12,,2,3,2.44,-2.68,-0.24,40.86,12.02,9.05,5.10,4.87,2.98,6.87,4.37
86,Mississippi State,SEC (West),,2,3,1.23,-2.15,-0.92,45.64,12.24,8.87,6.13,6.05,2.55,7.34,4.22
87,Indiana,Big Ten (East),,2,3,-0.20,-0.74,-0.94,39.68,11.01,9.01,5.42,4.73,3.69,6.67,4.42
88,Louisiana,Sun Belt (West),,3,2,3.58,-4.74,-1.16,42.80,18.17,8.38,6.39,6.95,2.60,7.57,4.10
89,Army,Ind,,2,2,0.72,-1.91,-1.19,48.55,9.74,12.21,5.78,5.69,2.78,7.02,4.30
90,Navy,American,,1,3,-3.70,2.07,-1.63,34.38,11.71,9.59,5.43,5.94,2.71,6.69,4.22
91,Utah State,MWC,,2,3,11.11,-12.84,-1.73,53.98,23.33,9.10,3.19,7.01,3.21,7.94,5.07
92,Illinois,Big Ten (West),,2,3,-2.46,0.47,-1.99,38.03,7.23,9.40,4.23,5.79,2.99,7.42,3.93
93,Jacksonville State,CUSA,,4,1,-1.77,-0.54,-2.31,41.02,11.34,8.09,6.96,5.11,1.99,5.84,4.08
94,Middle Tennessee State,CUSA,,1,4,-3.88,1.56,-2.32,33.99,15.20,8.04,4.64,5.67,3.53,6.81,4.19
95,Louisiana-Monroe,Sun Belt (West),,2,2,-6.05,3.52,-2.53,33.59,8.71,7.13,6.67,6.99,2.71,7.04,4.88
96,Pitt,ACC,,1,4,-1.48,-1.48,-2.96,41.40,10.96,8.80,6.70,4.70,1.92,6.47,3.56
97,South Alabama,Sun Belt (West),,2,3,-0.03,-2.98,-3.01,38.83,15.84,8.03,7.71,6.14,2.25,6.73,4.96
98,Houston,Big 12,,2,3,3.31,-6.84,-3.52,47.53,14.38,10.55,6.13,5.40,4.07,7.33,5.03
99,East Carolina,American,,1,4,-7.94,4.15,-3.79,35.52,7.94,6.73,4.94,4.41,2.46,5.40,3.70
100,Vanderbilt,SEC (East),,2,4,3.49,-7.63,-4.14,43.95,20.71,8.96,6.24,4.97,3.14,7.08,4.70
101,Florida Atlantic,American,,1,3,-1.72,-3.24,-4.96,38.29,16.16,8.01,5.43,5.31,3.05,6.62,4.43
102,New Mexico,MWC,,2,3,-3.11,-2.03,-5.14,39.90,16.83,8.38,6.77,6.73,3.32,7.53,5.00
103,San Diego State,MWC,,2,4,0.01,-5.34,-5.33,39.90,16.89,8.16,2.31,6.28,3.67,6.90,4.96
104,Southern Mississippi,Sun Belt (West),,1,4,0.92,-6.74,-5.82,38.52,23.51,7.24,7.53,5.72,4.32,6.36,5.57
105,Old Dominion,Sun Belt (East),,2,3,-0.30,-5.75,-6.05,36.88,17.79,9.97,6.23,4.91,2.17,7.10,4.00
106,Temple,American,,2,3,-1.04,-5.13,-6.17,38.59,17.28,7.91,7.16,5.72,3.71,6.93,5.07
107,UTSA,American,,1,3,-9.97,3.66,-6.31,32.63,4.62,8.16,4.15,4.82,2.09,6.35,3.52
108,San Jose State,MWC,,1,4,-1.72,-5.05,-6.77,44.28,11.28,7.46,0.58,6.52,3.21,6.96,3.71
109,Charlotte,American,,1,4,-4.45,-2.45,-6.91,35.02,11.40,8.34,7.30,5.08,2.97,6.27,4.88
110,New Mexico State,CUSA,,2,3,-2.93,-4.02,-6.95,36.71,14.94,12.14,6.46,6.79,3.05,8.87,4.57
111,Louisiana Tech,CUSA,,3,3,-1.58,-5.69,-7.26,37.17,15.91,8.84,4.10,5.27,4.09,6.90,4.20
112,Boston College,ACC,,2,3,4.39,-11.80,-7.41,42.59,20.15,8.45,7.57,5.76,3.56,6.84,5.08
113,UAB,American,,1,4,2.48,-10.31,-7.83,42.55,21.81,8.52,6.57,5.25,4.33,7.12,5.33
114,Central Michigan,MAC (West),,3,2,4.49,-12.74,-8.25,40.85,23.98,8.52,8.58,5.47,3.39,6.57,6.22
115,Western Michigan,MAC (West),,2,3,3.11,-11.47,-8.35,41.23,23.30,8.47,7.12,5.68,3.64,6.66,5.57
116,Stanford,Pac-12,,1,4,-5.56,-3.43,-8.98,33.09,15.12,8.49,5.88,4.84,3.23,6.43,4.64
117,Virginia,ACC,,0,5,-3.32,-5.84,-9.16,39.05,16.83,10.03,6.07,4.07,2.61,6.61,4.33
118,Florida International,CUSA,,3,2,-8.71,-0.51,-9.21,27.70,13.82,9.80,5.00,3.96,3.90,6.54,4.68
119,Oklahoma State,Big 12,,2,2,-6.69,-2.71,-9.40,32.53,16.69,6.49,7.09,5.40,3.23,5.92,5.01
120,Buffalo,MAC (East),,1,4,3.82,-14.32,-10.51,40.98,26.15,7.68,7.08,4.80,4.45,6.22,5.76
121,Hawaii,MWC,,2,4,-4.23,-6.64,-10.87,33.93,19.29,8.14,5.58,3.35,3.39,6.24,4.45
122,North Texas,American,,2,2,8.82,-19.70,-10.87,46.39,36.26,9.86,6.72,5.26,5.34,7.27,6.05
123,Sam Houston,CUSA,,0,4,-14.95,3.92,-11.03,27.79,6.32,7.24,0.01,3.36,3.80,5.05,4.27
124,Northern Illinois,MAC (West),,1,4,-7.77,-3.99,-11.76,30.00,11.92,7.11,4.93,4.76,3.24,5.86,4.28
125,Arizona State,Pac-12,,1,4,-9.18,-2.63,-11.81,28.23,12.29,7.85,5.39,3.90,2.77,5.96,3.99
126,Connecticut,Ind,,0,5,-8.45,-3.91,-12.35,33.91,15.34,8.50,6.62,5.25,2.14,6.11,4.23
127,Akron,MAC (East),,1,4,-11.87,-0.63,-12.50,26.36,12.46,6.68,5.67,4.07,1.74,5.47,3.72
128,Ball State,MAC (West),,1,4,-10.94,-1.75,-12.69,31.24,19.84,7.68,6.60,4.04,2.74,5.70,4.86
129,Kent State,MAC (East),,1,4,-14.59,1.56,-13.03,25.82,17.73,8.56,6.61,4.17,3.33,5.62,4.76
130,Massachusetts,Ind,,1,5,2.60,-15.77,-13.17,41.78,28.64,9.77,9.13,5.24,3.29,7.32,5.84
131,Eastern Michigan,MAC (West),,2,3,-14.55,0.93,-13.62,23.33,11.15,4.92,6.26,5.18,4.14,5.02,5.22
132,UTEP,CUSA,,1,5,-11.32,-2.81,-14.13,28.67,15.04,7.83,6.89,5.44,4.21,6.43,5.42
133,Nevada,MWC,,0,5,-14.15,-1.12,-15.26,24.04,16.24,7.05,8.28,3.89,4.33,5.33,6.34
