,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Ohio State,Big Ten,4,5,1,7.66,15.85,23.51,61.02,-6.49,11.00,4.86,7.54,0.96,9.21,2.64
2,Texas,SEC,1,6,1,3.66,16.77,20.43,58.34,-7.49,10.50,2.65,6.68,1.83,8.52,2.24
3,Oregon,Big Ten,2,7,0,9.66,10.20,19.86,50.47,-1.79,10.49,3.97,6.06,2.15,8.23,3.02
4,Alabama,SEC,7,5,2,14.48,5.36,19.84,64.16,-0.08,12.07,4.10,6.85,2.23,9.09,3.21
5,Indiana,Big Ten,16,7,0,10.45,8.91,19.36,64.38,2.15,12.79,3.93,6.90,2.57,9.27,3.26
6,Georgia,SEC,5,6,1,8.94,10.38,19.32,53.99,-6.27,10.13,3.83,6.10,1.46,8.35,2.68
7,Notre Dame,Ind,12,6,1,5.66,12.85,18.51,54.66,-5.82,8.31,3.68,7.59,1.36,7.92,2.45
8,Miami (FL),ACC,6,7,0,14.66,3.11,17.77,65.16,6.59,11.61,4.54,7.17,2.30,9.49,3.64
9,LSU,SEC,8,6,1,12.94,4.17,17.10,55.02,0.99,9.87,5.56,6.70,2.13,8.46,3.84
10,Clemson,ACC,10,6,1,12.66,4.20,16.86,60.05,7.09,9.76,4.63,7.42,3.27,8.57,3.92
11,Penn State,Big Ten,3,6,0,4.59,12.02,16.61,50.73,-1.66,11.87,3.79,6.69,2.12,8.76,2.91
12,Ole Miss,SEC,18,5,2,2.10,14.34,16.44,58.23,-5.56,11.77,4.42,6.62,0.96,9.02,2.77
13,BYU,Big 12,13,7,0,9.33,6.48,15.81,48.80,3.50,9.31,3.54,5.93,2.98,7.53,3.29
14,SMU,ACC,21,6,1,11.42,4.07,15.50,57.57,4.92,10.53,5.30,6.23,1.50,7.93,3.35
15,Boise State,MWC,15,5,1,16.25,-0.82,15.43,59.87,11.68,9.36,6.44,8.56,2.05,8.91,4.16
16,Iowa State,Big 12,9,7,0,5.08,9.88,14.95,46.60,-0.41,9.71,3.28,6.15,3.45,7.73,3.48
17,Kansas State,Big 12,17,6,1,6.96,7.43,14.39,48.85,3.27,9.30,5.61,7.53,1.50,8.31,3.64
18,Texas A&M,SEC,14,6,1,5.90,8.19,14.09,51.61,-1.24,9.84,4.13,6.97,2.19,8.10,3.24
19,Virginia Tech,ACC,,4,3,9.71,4.29,13.99,51.40,2.23,9.14,5.52,7.04,2.41,7.85,3.74
20,South Carolina,SEC,,4,3,5.77,7.69,13.46,52.11,-3.45,9.24,4.02,6.04,1.21,7.19,2.48
21,Tennessee,SEC,11,6,1,-0.80,14.04,13.23,55.66,-6.59,10.08,3.65,6.87,1.21,8.11,2.35
22,Navy,American,25,6,0,14.65,-1.48,13.16,55.64,13.02,13.96,6.61,6.60,3.70,8.38,5.08
23,Louisville,ACC,,4,3,7.79,4.58,12.37,54.91,1.70,10.03,5.28,7.07,1.90,8.64,3.52
24,Army,American,23,7,0,5.44,5.95,11.39,49.66,4.93,14.86,5.55,7.57,2.33,8.73,4.12
25,Pitt,ACC,20,6,0,9.28,1.05,10.33,53.38,10.01,9.18,5.33,6.95,1.72,8.25,3.46
26,USC,Big Ten,,3,4,5.96,4.10,10.05,52.23,2.48,9.38,5.11,7.25,2.84,8.35,3.96
27,Wisconsin,Big Ten,,5,2,-0.77,10.80,10.03,43.51,-0.69,8.40,3.72,5.80,2.49,6.94,3.14
28,Iowa,Big Ten,,4,3,6.67,3.06,9.73,49.78,4.81,8.33,4.63,7.40,2.39,7.85,3.62
29,Nevada-Las Vegas,MWC,,6,1,9.77,-0.04,9.73,56.62,9.88,10.61,5.09,6.61,2.14,7.87,3.84
30,Florida,SEC,,4,3,6.84,2.84,9.68,51.36,1.38,12.06,4.75,6.15,1.85,8.72,3.09
31,Illinois,Big Ten,22,6,1,4.03,5.60,9.62,44.79,3.58,9.86,4.98,5.31,2.53,7.28,3.75
32,Missouri,SEC,19,6,1,0.65,8.68,9.33,48.14,0.70,8.84,4.84,5.91,2.35,7.29,3.53
33,Colorado,Big 12,,5,2,7.63,1.56,9.19,46.78,7.98,10.21,5.75,4.21,2.45,7.63,3.86
34,Washington State,Ind,,6,1,10.89,-1.73,9.16,52.34,12.54,10.52,5.41,6.02,4.17,7.99,4.71
35,Nebraska,Big Ten,,5,2,-2.20,11.31,9.11,38.46,1.45,8.81,4.14,4.59,2.07,6.74,3.15
36,Cincinnati,Big 12,,5,2,4.08,3.92,7.99,45.36,3.36,10.34,6.05,6.47,3.27,8.28,4.58
37,Vanderbilt,SEC,,5,2,5.26,2.66,7.91,50.16,5.10,10.19,5.81,5.24,2.55,7.00,4.21
38,James Madison,Sun Belt (East),,5,2,0.91,6.95,7.86,45.20,4.94,8.40,4.67,5.43,2.84,6.76,3.89
39,Syracuse,ACC,,5,1,8.82,-1.27,7.54,47.71,9.95,8.82,5.87,4.85,3.30,7.23,4.78
40,Tulane,American,,5,2,4.77,2.61,7.37,54.54,6.81,11.24,4.89,6.34,2.82,7.97,3.93
41,Georgia Southern,Sun Belt (East),,5,2,7.27,-0.02,7.25,46.40,10.17,8.17,6.07,5.06,3.28,6.57,4.70
42,Memphis,American,,6,1,3.02,4.00,7.01,44.46,7.11,7.43,4.86,6.12,3.35,6.86,4.44
43,Georgia Tech,ACC,,5,3,3.60,3.32,6.93,48.52,5.84,9.86,6.29,6.53,2.40,8.04,4.18
44,Maryland,Big Ten,,4,3,6.20,0.61,6.81,48.70,6.50,9.39,5.41,5.18,1.63,7.45,3.74
45,Washington,Big Ten,,4,3,-1.95,8.72,6.77,39.96,1.41,10.03,3.42,5.97,2.83,8.02,3.14
46,Duke,ACC,,6,1,0.67,5.82,6.48,39.78,3.79,7.46,3.19,4.60,2.85,6.07,2.96
47,Western Kentucky,CUSA,,5,2,-0.19,6.63,6.43,40.96,8.42,9.47,6.24,4.49,3.63,6.97,4.70
48,Michigan,Big Ten,24,4,3,3.61,2.78,6.38,43.87,4.74,8.17,4.16,6.42,2.03,7.14,3.31
49,Virginia,ACC,,4,3,3.42,2.45,5.88,43.62,5.88,9.50,5.93,5.71,2.47,7.45,4.23
50,Minnesota,Big Ten,,4,3,-4.08,9.90,5.82,41.21,-1.08,8.66,3.79,4.91,1.99,6.66,2.77
51,Kentucky,SEC,,3,4,-2.35,7.99,5.64,43.90,-1.58,9.05,6.42,6.07,1.85,7.22,3.61
52,Michigan State,Big Ten,,4,3,-1.35,6.92,5.57,41.46,1.97,10.33,5.14,5.77,2.13,7.81,3.45
53,Oklahoma,SEC,,4,3,1.86,3.60,5.46,47.70,0.48,9.10,5.06,5.30,1.14,6.94,2.93
54,Boston College,ACC,,4,3,2.09,3.18,5.27,46.03,6.18,10.10,5.07,5.44,3.08,7.20,4.01
55,Rutgers,Big Ten,,4,3,3.55,1.57,5.11,44.96,9.72,9.12,5.41,6.55,4.21,7.60,4.64
56,Toledo,MAC,,5,2,2.56,2.45,5.00,43.28,7.85,9.36,4.99,4.09,2.63,6.65,3.84
57,Arizona State,Big 12,,5,2,2.19,2.73,4.92,46.17,6.20,9.27,4.48,6.00,1.88,7.22,3.21
58,Baylor,Big 12,,3,4,6.25,-1.39,4.87,49.26,12.51,9.70,5.50,5.37,2.95,7.39,3.93
59,West Virginia,Big 12,,3,4,5.15,-0.66,4.49,46.85,9.49,9.41,7.28,6.40,1.53,7.59,4.05
60,UCF,Big 12,,3,4,2.51,1.98,4.48,48.69,8.17,9.93,4.41,7.36,2.56,8.30,3.57
61,Arkansas,SEC,,4,3,0.54,3.71,4.25,48.52,2.06,10.29,4.81,6.16,1.84,8.03,3.32
62,Northern Illinois,MAC,,4,3,-2.93,6.65,3.72,37.87,3.56,8.53,4.74,5.68,2.30,6.81,3.36
63,Marshall,Sun Belt (East),,4,3,1.60,2.03,3.63,43.77,9.13,7.21,5.18,6.84,2.97,7.05,3.95
64,Louisiana-Monroe,Sun Belt (West),,5,1,-1.08,4.60,3.52,36.64,7.80,8.41,5.16,5.06,3.15,6.27,4.02
65,Connecticut,Ind,,4,3,0.79,2.65,3.44,47.75,10.85,9.92,5.51,5.98,3.33,7.54,4.30
66,Northwestern,Big Ten,,3,4,-1.57,4.96,3.39,39.21,3.22,8.52,5.10,5.36,2.09,6.79,3.65
67,Oregon State,Ind,,4,3,4.53,-1.46,3.07,43.06,13.02,8.00,4.78,6.16,4.74,6.88,4.89
68,North Carolina,ACC,,3,4,9.61,-7.01,2.60,50.36,15.38,9.16,6.81,6.77,3.24,7.85,4.78
69,California,ACC,,3,4,-0.93,3.43,2.50,39.51,1.77,9.40,4.36,4.87,2.12,7.03,3.26
70,Kansas,Big 12,,2,5,2.29,0.06,2.35,46.97,7.07,9.09,5.29,7.60,2.81,8.17,4.02
71,Louisiana,Sun Belt (West),,6,1,3.62,-1.32,2.30,42.69,12.36,9.82,4.69,5.63,4.17,7.60,4.52
72,Texas Tech,Big 12,,5,2,10.70,-8.56,2.14,51.80,18.98,8.58,6.00,6.06,3.34,7.42,4.78
73,Texas State,Sun Belt (West),,4,3,3.94,-1.86,2.07,46.24,11.70,8.77,5.08,6.36,2.74,7.56,3.95
74,Bowling Green,MAC,,3,4,1.69,-0.33,1.36,39.77,9.21,9.31,4.80,5.58,3.85,7.43,4.25
75,Utah,Big 12,,4,3,-7.83,9.13,1.30,35.19,0.71,8.77,4.40,5.45,2.68,7.01,3.43
76,North Texas,American,,5,2,12.16,-11.19,0.97,51.32,24.55,9.53,6.98,6.15,3.24,7.88,5.13
77,Auburn,SEC,,2,5,-3.79,4.73,0.94,46.27,2.89,10.99,4.93,6.65,1.96,8.68,3.34
78,Texas Christian,Big 12,,4,3,7.06,-6.19,0.87,50.53,13.16,9.94,4.46,5.03,2.57,7.80,3.48
79,UCLA,Big Ten,,2,5,0.62,0.18,0.79,41.88,7.41,10.10,4.65,4.28,1.65,7.43,3.40
80,Oklahoma State,Big 12,,3,4,6.58,-5.82,0.76,48.08,14.40,8.87,6.36,5.73,4.08,7.47,5.12
81,Sam Houston,CUSA,,5,2,3.57,-2.89,0.69,42.39,14.11,9.01,5.74,5.73,2.72,6.99,4.16
82,Wake Forest,ACC,,3,4,3.92,-3.64,0.28,43.66,12.58,9.07,5.37,5.13,3.01,7.03,4.30
83,Miami (OH),MAC,,3,4,-3.46,3.71,0.25,38.15,6.97,8.90,4.45,5.38,3.30,7.27,3.89
84,Western Michigan,MAC,,4,3,8.48,-8.29,0.19,45.80,22.21,9.71,8.17,6.22,3.69,7.57,5.64
85,Buffalo,MAC,,4,3,-2.46,2.19,-0.28,36.59,12.55,7.67,4.83,5.11,3.10,6.18,4.10
86,Old Dominion,Sun Belt (East),,3,4,-2.09,1.74,-0.35,40.34,8.18,7.49,5.80,5.99,2.16,6.65,3.76
87,North Carolina State,ACC,,4,4,3.33,-4.29,-0.96,43.87,15.08,9.89,5.23,5.05,3.56,7.43,4.45
88,Florida State,ACC,,1,6,-5.55,4.20,-1.35,36.69,3.68,8.74,5.40,4.22,2.68,6.49,3.79
89,Coastal Carolina,Sun Belt (East),,4,3,5.92,-7.40,-1.48,45.33,18.40,9.75,6.21,5.91,3.76,7.46,4.81
