,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
90,Mississippi State,SEC,,1,6,4.40,-5.91,-1.51,50.40,12.66,10.57,5.78,5.47,3.49,7.79,4.50
91,Nevada,MWC,,3,5,1.26,-3.11,-1.86,41.41,12.40,8.93,6.11,6.37,3.77,7.33,4.96
92,Liberty,CUSA,,5,0,1.68,-3.82,-2.14,38.58,16.27,10.51,6.63,5.49,3.00,7.40,4.62
93,South Alabama,Sun Belt (West),,3,4,-3.38,1.10,-2.28,44.92,11.71,8.60,6.60,6.60,2.75,7.59,4.82
94,Fresno State,MWC,,4,3,-5.40,3.12,-2.29,36.85,11.02,9.28,4.87,3.98,2.45,6.47,3.81
95,Stanford,ACC,,2,5,-4.95,2.56,-2.39,37.32,9.13,7.59,7.00,5.20,2.22,6.22,4.55
96,San Jose State,MWC,,5,2,4.48,-7.15,-2.67,42.04,18.76,9.21,5.91,4.04,3.11,7.09,4.58
97,Arizona,Big 12,,3,4,-4.04,1.12,-2.92,36.04,10.52,8.49,5.10,5.89,2.89,7.26,3.86
98,South Florida,American,,3,4,-3.57,0.05,-3.52,39.35,10.40,8.09,6.12,5.07,2.30,6.30,4.24
99,Colorado State,MWC,,4,3,-3.14,-0.50,-3.64,35.80,15.33,8.76,5.80,5.64,3.50,7.03,4.64
100,Ohio,MAC,,4,3,-3.12,-0.94,-4.07,35.04,11.76,7.86,5.89,6.01,2.69,6.75,4.12
101,Houston,Big 12,,2,5,-10.37,6.18,-4.18,34.12,2.93,9.19,4.67,5.70,2.43,7.09,3.45
102,Eastern Michigan,MAC,,5,2,1.30,-5.72,-4.42,39.03,15.84,8.08,7.63,3.89,3.42,5.84,5.12
103,Purdue,Big Ten,,1,6,-1.90,-3.50,-5.40,41.97,22.02,9.78,8.19,6.85,3.79,8.10,5.42
104,Jacksonville State,CUSA,,3,3,1.74,-7.73,-6.00,49.21,21.23,10.20,7.38,6.11,3.72,7.78,5.10
105,Florida Atlantic,American,,2,5,-3.40,-2.81,-6.21,36.25,13.14,8.18,4.00,5.80,3.77,6.70,4.11
106,Charlotte,American,,3,4,-2.03,-4.22,-6.25,37.03,15.81,9.19,5.90,4.93,3.33,6.83,4.71
107,Arkansas State,Sun Belt (West),,4,3,-1.67,-5.05,-6.72,35.44,19.29,8.15,7.26,4.69,4.20,6.27,5.47
108,Georgia State,Sun Belt (East),,2,4,-1.83,-4.94,-6.77,37.20,14.36,7.66,6.58,5.70,3.82,6.83,5.09
109,East Carolina,American,,3,4,-2.92,-4.16,-7.08,37.37,15.72,7.97,4.91,5.03,2.60,6.60,3.85
110,Hawaii,MWC,,2,5,-8.75,1.45,-7.30,30.21,9.90,7.86,5.66,4.44,3.04,6.44,4.26
111,Appalachian State,Sun Belt (East),,2,4,0.36,-8.12,-7.76,38.73,22.31,8.74,7.56,5.31,3.99,7.07,5.38
112,Temple,American,,2,5,-7.97,-0.09,-8.05,32.27,13.58,7.84,3.31,4.08,3.18,5.97,3.73
113,UTSA,American,,3,4,-3.08,-5.42,-8.50,38.68,19.47,8.98,8.06,4.86,1.60,6.82,4.59
114,San Diego State,MWC,,3,3,-5.47,-3.77,-9.23,33.48,14.51,8.56,5.41,4.10,3.54,6.07,4.38
115,Troy,Sun Belt (West),,1,6,-5.54,-4.00,-9.54,34.19,12.61,8.85,6.75,4.77,3.20,6.49,4.73
116,Ball State,MAC,,2,5,-1.62,-8.04,-9.66,35.47,25.89,7.33,8.16,4.19,4.44,5.81,6.37
117,Central Michigan,MAC,,3,4,-1.80,-7.93,-9.73,40.30,21.13,8.26,6.40,6.09,4.28,7.05,5.15
118,UAB,American,,1,6,-4.45,-5.95,-10.40,37.70,19.76,8.06,4.39,5.24,3.80,6.58,4.41
119,Rice,American,,2,5,-6.76,-3.88,-10.64,37.12,12.47,7.33,3.77,6.76,2.58,7.07,3.45
120,Akron,MAC,,1,6,-7.00,-3.92,-10.92,33.35,20.50,7.97,6.58,3.97,3.07,6.32,4.54
121,Florida International,CUSA,,2,5,-4.22,-7.16,-11.38,36.10,17.14,9.25,4.42,4.02,3.99,6.55,4.29
122,Utah State,MWC,,1,6,0.28,-12.69,-12.40,40.24,26.22,9.24,6.77,6.08,3.89,7.67,5.18
123,Louisiana Tech,CUSA,,2,4,-6.50,-6.34,-12.84,30.60,17.19,8.57,5.70,3.26,2.82,5.72,4.18
124,Tulsa,American,,2,5,-7.44,-5.48,-12.92,31.92,22.13,7.37,7.22,5.46,3.46,6.25,5.40
125,Massachusetts,Ind,,1,6,-5.80,-7.82,-13.62,33.14,21.44,8.67,6.53,4.48,4.25,6.28,5.09
126,Wyoming,MWC,,1,6,-10.37,-4.56,-14.93,28.63,18.50,7.83,6.85,3.88,4.09,5.54,5.36
127,New Mexico,MWC,,3,4,10.45,-25.76,-15.31,47.87,36.04,8.90,7.53,6.76,5.17,7.76,6.25
128,UTEP,CUSA,,1,6,-7.14,-8.99,-16.13,30.67,22.28,8.46,6.28,4.40,4.28,6.33,4.96
129,Southern Mississippi,Sun Belt (West),,1,6,-7.72,-8.53,-16.25,31.35,21.78,8.75,5.96,4.45,4.72,6.54,5.32
130,Air Force,MWC,,1,6,-16.20,-0.16,-16.36,22.09,13.22,7.79,5.88,4.20,4.22,5.05,4.93
131,Kent State,MAC,,0,7,-7.36,-9.28,-16.65,32.00,29.55,8.26,7.31,3.56,4.34,5.76,5.52
132,Middle Tennessee State,CUSA,,2,5,-6.74,-9.91,-16.65,32.24,24.89,9.29,7.85,3.88,4.28,6.74,6.00
133,New Mexico State,CUSA,,2,5,-10.71,-7.41,-18.12,27.02,24.88,5.61,5.61,5.15,4.70,5.35,5.16
134,Kennesaw State,CUSA,,0,6,-18.04,-7.04,-25.08,19.23,20.51,5.69,5.99,3.52,4.09,4.34,4.78
