,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
25,Tulsa,American,0,1,.000,,,,3.1,3.3,-2.33,-1.74,,,,
26,Baylor,Big 12,1,0,1.000,,,,5.8,0.8,5.20,3.20,9,10,9,
27,Iowa State,Big 12,1,0,1.000,,,,3.5,0.8,5.41,3.41,,,,
28,Kansas,Big 12,1,0,1.000,,,,4.7,0.8,5.51,3.51,,,,
29,Kansas State,Big 12,1,0,1.000,,,,2.8,0.0,5.60,3.60,,,,
30,Oklahoma,Big 12,1,0,1.000,,,,3.8,1.1,5.31,3.31,7,9,7,
31,Oklahoma State,Big 12,1,0,1.000,,,,4.8,3.7,4.62,3.45,11,12,11,
32,Texas,Big 12,1,0,1.000,,,,4.3,0.8,5.59,3.59,,,,
33,Texas Christian,Big 12,1,0,1.000,,,,3.2,1.1,5.42,3.42,,,,
34,Texas Tech,Big 12,1,0,1.000,,,,5.3,0.8,5.41,3.41,,,,
35,West Virginia,Big 12,0,1,.000,,,,2.6,3.2,3.06,3.64,,,,
36,Indiana,Big Ten (East),1,0,1.000,1,0,1.000,1.9,1.7,1.99,1.41,,,,
37,Penn State,Big Ten (East),1,0,1.000,1,0,1.000,2.9,2.6,2.49,1.91,,,,
38,Maryland,Big Ten (East),1,0,1.000,,,,2.6,0.8,2.98,1.23,,,,
39,Michigan,Big Ten (East),1,0,1.000,,,,4.3,0.6,3.40,1.40,4,8,4,
40,Michigan State,Big Ten (East),1,0,1.000,,,,2.9,1.1,3.82,1.99,14,15,14,
41,Ohio State,Big Ten (East),1,0,1.000,,,,1.8,0.8,3.05,2.13,3,2,2,
42,Rutgers,Big Ten (East),1,0,1.000,,,,1.8,1.8,2.03,1.45,,,,
43,Northwestern,Big Ten (West),1,0,1.000,1,0,1.000,2.6,2.3,2.04,1.46,,,,
44,Illinois,Big Ten (West),1,1,.500,0,1,.000,4.8,2.4,2.90,1.48,,,,
45,Nebraska,Big Ten (West),1,1,.500,0,1,.000,5.5,4.0,3.10,1.93,,,,
46,Purdue,Big Ten (West),0,1,.000,0,1,.000,2.6,2.9,1.10,1.68,,,,
47,Iowa,Big Ten (West),1,0,1.000,,,,0.6,0.3,2.63,2.04,,,,
48,Minnesota,Big Ten (West),1,0,1.000,,,,3.2,0.0,3.15,1.15,,,,
49,Wisconsin,Big Ten (West),1,0,1.000,,,,3.2,0.0,3.38,1.38,19,18,18,
50,Florida Atlantic,CUSA (East),1,1,.500,1,0,1.000,6.8,4.5,-1.31,-2.73,,,,
51,Charlotte,CUSA (East),0,2,.000,0,1,.000,3.1,7.0,-5.60,-2.19,,,,
52,Florida International,CUSA (East),1,0,1.000,,,,3.2,3.1,-2.80,-3.39,,,,
53,Western Kentucky,CUSA (East),2,0,1.000,,,,6.7,3.4,0.16,-2.53,,,,
54,Middle Tennessee State,CUSA (East),0,1,.000,,,,0.6,3.7,-4.50,-2.50,,,,
55,North Texas,CUSA (West),1,1,.500,1,0,1.000,3.4,5.1,-2.98,-2.48,,,,
56,UTEP,CUSA (West),0,2,.000,0,1,.000,2.2,6.3,-6.08,-2.58,,,,
57,UAB,CUSA (West),1,0,1.000,,,,4.9,0.0,-0.50,-2.50,,,,
58,Louisiana Tech,CUSA (West),0,1,.000,,,,2.0,4.3,-4.46,-2.46,,,,
59,Rice,CUSA (West),0,1,.000,,,,1.2,5.5,-4.21,-2.21,,,,
60,UTSA,CUSA (West),0,1,.000,,,,2.9,3.1,-3.01,-2.43,,,,
61,Liberty,Ind,1,0,1.000,,,,2.4,2.3,-0.27,-0.85,,,,
62,Connecticut,Ind,1,1,.500,,,,4.0,2.8,0.04,-1.05,,,,
63,Massachusetts,Ind,0,1,.000,,,,0.8,3.5,-3.59,-1.59,,,,
64,New Mexico State,Ind,0,2,.000,,,,1.0,5.1,-4.12,-1.20,,,,
65,Notre Dame,Ind,0,1,.000,,,,0.8,1.8,0.91,1.82,8,5,5,
66,BYU,Ind,1,0,1.000,,,,4.2,1.8,1.28,-0.73,21,25,21,
67,Army,Ind,0,1,.000,,,,2.3,3.2,-3.01,-2.18,,,,
68,Akron,MAC (East),1,0,1.000,,,,2.5,1.9,-1.14,-1.72,,,,
69,Ohio,MAC (East),1,0,1.000,,,,3.4,3.2,-1.38,-1.97,,,,
70,Bowling Green,MAC (East),0,1,.000,,,,1.4,3.8,-3.69,-1.69,,,,
71,Buffalo,MAC (East),0,1,.000,,,,0.8,2.6,-3.86,-2.11,,,,
72,Kent State,MAC (East),0,1,.000,,,,1.7,3.8,-3.19,-1.19,,,,
73,Miami (OH),MAC (East),0,1,.000,,,,1.1,3.1,-4.05,-2.05,,,,
74,Eastern Michigan,MAC (West),1,0,1.000,,,,3.5,2.8,-1.48,-2.14,,,,
75,Northern Illinois,MAC (West),1,0,1.000,,,,2.8,2.3,-1.06,-1.65,,,,
76,Toledo,MAC (West),1,0,1.000,,,,3.1,0.0,-0.67,-2.67,,,,
77,Ball State,MAC (West),0,1,.000,,,,0.8,4.9,-3.64,-1.64,,,,
78,Central Michigan,MAC (West),0,1,.000,,,,3.7,4.8,-2.62,-1.46,,,,
79,Western Michigan,MAC (West),0,1,.000,,,,1.1,2.9,-3.57,-1.74,,,,
80,Air Force,MWC (Mountain),1,0,1.000,,,,4.0,1.4,0.03,-1.97,,,,
81,New Mexico,MWC (Mountain),1,0,1.000,,,,3.4,0.0,-0.31,-2.31,,,,
82,Utah State,MWC (Mountain),1,1,.500,,,,2.6,6.3,-2.44,-1.36,,,,
83,Wyoming,MWC (Mountain),1,1,.500,,,,3.8,6.3,-2.96,-1.54,,,,
84,Boise State,MWC (Mountain),0,1,.000,,,,1.4,2.8,-2.93,-1.51,,,,
85,Colorado State,MWC (Mountain),0,1,.000,,,,0.6,4.3,-3.57,-1.57,,,,
86,Fresno State,MWC (West),1,0,1.000,,,,2.9,0.6,0.93,-1.07,,,,
87,Nevada,MWC (West),2,0,1.000,,,,5.1,2.2,0.97,-1.95,,,,
88,Nevada-Las Vegas,MWC (West),1,0,1.000,,,,4.3,1.8,0.82,-1.19,,,,
89,San Jose State,MWC (West),1,0,1.000,,,,1.8,1.4,-1.39,-1.97,,,,
90,Hawaii,MWC (West),0,2,.000,,,,2.1,8.6,-4.65,-0.96,,,,
91,San Diego State,MWC (West),0,1,.000,,,,1.7,3.2,-2.33,-0.83,,,,
92,California,Pac-12 (North),1,0,1.000,,,,2.8,1.1,3.06,1.31,,,,
93,Oregon State,Pac-12 (North),1,0,1.000,,,,2.8,1.4,2.35,0.94,,,,
94,Stanford,Pac-12 (North),1,0,1.000,,,,3.4,0.8,3.40,1.40,,,,
95,Washington,Pac-12 (North),1,0,1.000,,,,3.8,1.7,3.20,1.20,,,,
96,Washington State,Pac-12 (North),1,0,1.000,,,,2.0,1.4,1.88,1.30,,,,
97,Oregon,Pac-12 (North),0,1,.000,,,,0.3,4.1,-0.42,1.58,,11,11,
98,Arizona,Pac-12 (South),1,0,1.000,,,,3.2,1.7,2.61,1.11,,,,
99,Arizona State,Pac-12 (South),1,0,1.000,,,,3.3,0.3,3.51,1.51,,,,
100,UCLA,Pac-12 (South),1,0,1.000,,,,3.8,1.4,2.90,0.90,,,,
101,USC,Pac-12 (South),1,0,1.000,,,,5.5,1.2,3.53,1.53,10,14,10,
102,Colorado,Pac-12 (South),0,1,.000,,,,1.1,3.2,0.49,2.49,,,,
103,Utah,Pac-12 (South),0,1,.000,,,,2.2,2.4,0.58,1.17,13,7,7,
104,Florida,SEC (East),1,0,1.000,,,,2.4,2.2,2.09,1.51,12,,12,
105,Georgia,SEC (East),1,0,1.000,,,,4.1,0.3,3.19,1.19,2,3,2,
106,Kentucky,SEC (East),1,0,1.000,,,,3.1,1.1,3.01,1.01,20,20,20,
107,Missouri,SEC (East),1,0,1.000,,,,4.3,2.0,3.20,1.20,,,,
108,South Carolina,SEC (East),1,0,1.000,,,,2.9,1.2,2.75,1.00,,,,
109,Tennessee,SEC (East),1,0,1.000,,,,4.9,0.8,3.09,1.09,24,,24,
110,Vanderbilt,SEC (East),2,0,1.000,,,,8.8,3.4,4.10,1.18,,,,
111,Alabama,SEC (West),1,0,1.000,,,,4.6,0.0,3.32,1.32,1,1,1,
112,Arkansas,SEC (West),1,0,1.000,,,,2.6,2.0,1.80,1.22,16,19,16,
113,Auburn,SEC (West),1,0,1.000,,,,3.5,1.3,3.32,1.32,,,,
114,Mississippi State,SEC (West),1,0,1.000,,,,4.1,1.9,2.88,0.88,,,,
115,Ole Miss,SEC (West),1,0,1.000,,,,2.3,0.8,2.40,0.90,22,21,21,
116,Texas A&M,SEC (West),1,0,1.000,,,,2.6,0.0,2.90,0.90,6,6,6,
117,LSU,SEC (West),0,1,.000,,,,1.9,2.0,0.94,1.53,,,,
118,Coastal Carolina,Sun Belt (East),1,0,1.000,,,,3.2,2.3,-0.50,-1.33,,,,
119,Georgia Southern,Sun Belt (East),1,0,1.000,,,,4.9,0.6,1.25,-0.75,,,,
120,James Madison,Sun Belt (East),1,0,1.000,,,,4.0,0.6,0.79,-1.40,,,,
121,Marshall,Sun Belt (East),1,0,1.000,,,,4.6,0.3,0.41,-1.59,,,,
122,Old Dominion,Sun Belt (East),1,0,1.000,,,,1.7,1.4,0.53,-0.05,,,,
123,Appalachian State,Sun Belt (East),0,1,.000,,,,5.1,5.3,-1.53,-0.95,,,,
124,Georgia State,Sun Belt (East),0,1,.000,,,,1.2,2.9,-2.28,-0.53,,,,
125,Troy,Sun Belt (East),0,1,.000,,,,0.8,2.3,-2.63,-1.13,,,,
126,Arkansas State,Sun Belt (West),1,0,1.000,,,,4.8,0.3,0.54,-1.47,,,,
127,South Alabama,Sun Belt (West),1,0,1.000,,,,4.0,0.6,0.54,-1.46,,,,
128,Louisiana-Monroe,Sun Belt (West),0,1,.000,,,,0.8,4.3,-2.73,-0.73,,,,
129,Southern Mississippi,Sun Belt (West),0,1,.000,,,,2.3,2.4,-1.67,-1.08,,,,
130,Texas State,Sun Belt (West),0,1,.000,,,,1.2,3.2,-2.77,-0.77,,,,
131,Louisiana,Sun Belt (West),,,,,,,2.0,0.6,0.13,-1.29,,,,
