,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
1,Clemson,ACC (Atlantic),1,0,1.000,1,0,1.000,3.4,0.8,2.47,0.47,5,4,4,
2,Syracuse,ACC (Atlantic),1,0,1.000,1,0,1.000,2.6,0.6,2.81,0.81,,,,
3,Louisville,ACC (Atlantic),0,1,.000,0,1,.000,0.6,2.6,-0.51,1.49,,,,
4,Florida State,ACC (Atlantic),2,0,1.000,,,,5.9,2.5,3.31,0.73,,,,
5,North Carolina State,ACC (Atlantic),1,0,1.000,,,,1.8,1.7,1.59,1.01,18,13,13,
6,Wake Forest,ACC (Atlantic),1,0,1.000,,,,3.7,0.8,2.89,0.89,23,22,22,
7,Boston College,ACC (Atlantic),0,1,.000,,,,1.8,1.8,0.47,1.05,,,,
8,Georgia Tech,ACC (Coastal),0,1,.000,0,1,.000,0.8,3.4,-0.55,1.45,,,,
9,Duke,ACC (Coastal),1,0,1.000,,,,2.5,0.0,2.82,0.82,,,,
10,Miami (FL),ACC (Coastal),1,0,1.000,,,,5.8,1.1,2.45,0.45,15,16,15,
11,North Carolina,ACC (Coastal),2,0,1.000,,,,9.9,7.1,2.92,0.34,,,,
12,Pitt,ACC (Coastal),1,0,1.000,,,,3.2,2.6,1.33,0.74,17,17,17,
13,Virginia,ACC (Coastal),1,0,1.000,,,,2.8,1.4,2.12,0.71,,,,
14,Virginia Tech,ACC (Coastal),0,1,.000,,,,1.4,1.7,0.29,0.87,,,,
15,Houston,American,1,0,1.000,,,,3.1,2.9,-0.37,-0.95,25,24,24,
16,SMU,American,1,0,1.000,,,,4.0,0.8,0.89,-1.11,,,,
17,Tulane,American,1,0,1.000,,,,3.5,0.8,0.53,-1.48,,,,
18,UCF,American,1,0,1.000,,,,4.7,0.8,0.06,-1.94,,,,
19,Cincinnati,American,0,1,.000,,,,2.0,2.6,-2.09,-1.51,,23,23,
20,East Carolina,American,0,1,.000,,,,1.7,1.8,-1.98,-1.39,,,,
21,Memphis,American,0,1,.000,,,,1.9,4.1,-3.23,-1.23,,,,
22,Navy,American,0,1,.000,,,,0.6,1.2,-2.32,-1.73,,,,
23,South Florida,American,0,1,.000,,,,1.8,4.2,-3.01,-1.01,,,,
24,Temple,American,0,1,.000,,,,0.0,2.5,-3.67,-1.67,,,,
